,builderName,State,District,Location,Highway,Railway,Metro,busStop,closestEducationalInstituteDistance,closestHospitalDistance,closestMallDistance,closestBusinessParkDistance,flatNumber,flatType,Area,noOfBathrooms,Parking,pricePerSqFeet,totalPrice,Gym,swimmingPool,Garden,yogaArea,playArea,shoppingArea,ATM/Finance
107,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,404,2,520,2,1,20560,10691200,1,0,1,1,1,0,0
108,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,501,1,378,1,1,20560,7771680,1,0,1,1,1,0,0
109,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,502,2,570,2,1,20560,11719200,1,0,1,1,1,0,0
110,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,503,2,538,2,1,20560,11061280,1,0,1,1,1,0,0
111,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,504,2,520,2,1,20560,10691200,1,0,1,1,1,0,0
112,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,601,1,378,1,1,20560,7771680,1,0,1,1,1,0,0
113,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,602,2,570,2,1,20560,11719200,1,0,1,1,1,0,0
114,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,603,2,538,2,1,20560,11061280,1,0,1,1,1,0,0
115,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,604,2,520,2,1,20560,10691200,1,0,1,1,1,0,0
116,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,701,1,378,1,1,21000,7938000,1,0,1,1,1,0,0
117,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,702,2,570,2,1,21000,11970000,1,0,1,1,1,0,0
118,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,703,2,538,2,1,21000,11298000,1,0,1,1,1,0,0
119,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,704,2,520,2,1,21000,10920000,1,0,1,1,1,0,0
120,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,801,1,378,1,1,21000,7938000,1,0,1,1,1,0,0
121,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,802,2,570,2,1,21000,11970000,1,0,1,1,1,0,0
122,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,803,2,538,2,1,21000,11298000,1,0,1,1,1,0,0
123,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,804,2,520,2,1,21000,10920000,1,0,1,1,1,0,0
124,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,901,1,378,1,1,21000,7938000,1,0,1,1,1,0,0
125,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,902,2,570,2,1,21000,11970000,1,0,1,1,1,0,0
126,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,903,2,538,2,1,21000,11298000,1,0,1,1,1,0,0
127,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,904,2,520,2,1,21000,10920000,1,0,1,1,1,0,0
128,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1001,1,378,1,1,21000,7938000,1,0,1,1,1,0,0
129,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1002,2,570,2,1,21000,11970000,1,0,1,1,1,0,0
130,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1003,2,538,2,1,21000,11298000,1,0,1,1,1,0,0
131,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1004,2,520,2,1,21000,10920000,1,0,1,1,1,0,0
132,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1101,1,378,1,1,21500,8127000,1,0,1,1,1,0,0
133,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1102,2,570,2,1,21500,12255000,1,0,1,1,1,0,0
134,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1103,2,538,2,1,21500,11567000,1,0,1,1,1,0,0
135,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1104,2,520,2,1,21500,11180000,1,0,1,1,1,0,0
136,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1201,1,378,1,1,21500,8127000,1,0,1,1,1,0,0
137,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1202,2,570,2,1,21500,12255000,1,0,1,1,1,0,0
138,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1203,2,538,2,1,21500,11567000,1,0,1,1,1,0,0
